name,artist,popularity,genre,duration_ms,release_date,year,release_year,duration_min
Never Love You Again (Feat. Sierra Ferrell),Post Malone,66,pop,186861,2024-08-16,2024.0,2024,3.11435
Don’t Blame Me,Taylor Swift,85,pop,236413,2017-11-10,2017.0,2017,3.9402166666666667
Right About You,Post Malone,66,pop,183046,2024-08-16,2024.0,2024,3.0507666666666666
M-E-X-I-C-O (Feat. Billy Strings),Post Malone,66,pop,155928,2024-08-16,2024.0,2024,2.5988
Go To Hell,Post Malone,66,pop,267330,2024-08-16,2024.0,2024,4.4555
Two Hearts,Post Malone,65,pop,206753,2024-08-16,2024.0,2024,3.445883333333333
Tennessee Orange,Megan Moroney,77,pop,223119,2023-05-05,2023.0,2023,3.71865
Who Needs You,Post Malone,65,pop,169864,2024-08-16,2024.0,2024,2.8310666666666666
Something About You,Eyedress,82,pop,153312,2021-08-27,2021.0,2021,2.5552
Daylight,David Kushner,86,pop,212953,2023-04-14,2023.0,2023,3.5492166666666667
Good Looking,Suki Waterhouse,82,pop,214800,2022-08-18,2022.0,2022,3.58
Surround Sound (feat. 21 Savage & Baby Tate),JID,81,pop,229938,2022-10-31,2022.0,2022,3.8323
SKINNY,Billie Eilish,83,pop,219733,2024-05-17,2024.0,2024,3.6622166666666667
Out of My League,Fitz and The Tantrums,75,pop,209386,2013-05-07,2013.0,2013,3.4897666666666667
Chk Chk Boom,Stray Kids,86,pop,148051,2024-07-19,2024.0,2024,2.4675166666666666
Am I Okay?,Megan Moroney,76,pop,235002,2024-07-12,2024.0,2024,3.9167
Ride,Twenty One Pilots,84,pop,214506,2015-05-15,2015.0,2015,3.5751
Toxic,Britney Spears,85,pop,198800,2003-11-13,2003.0,2003,3.3133333333333335
Rockstar,LISA,92,pop,138213,2024-06-27,2024.0,2024,2.30355
THE DINER,Billie Eilish,82,pop,186346,2024-05-17,2024.0,2024,3.105766666666667
Carry You Home,Alex Warren,85,pop,166880,2024-05-31,2024.0,2024,2.7813333333333334
Summer,Calvin Harris,86,pop,222533,2014-10-31,2014.0,2014,3.7088833333333335
Someone You Loved,Lewis Capaldi,87,pop,182160,2019-05-17,2019.0,2019,3.036
Feel So Close - Radio Edit,Calvin Harris,85,pop,206413,2012-10-29,2012.0,2012,3.4402166666666667
Pretty Little Poison,Warren Zeiders,76,pop,218260,2023-08-10,2023.0,2023,3.6376666666666666
Teenagers,My Chemical Romance,82,pop,161920,2006-10-23,2006.0,2006,2.6986666666666665
Parking Lot,Mustard,80,pop,172794,2024-06-21,2024.0,2024,2.8799
good 4 u,Olivia Rodrigo,83,pop,178146,2021-05-21,2021.0,2021,2.9691
Watermelon Sugar,Harry Styles,86,pop,174000,2019-12-13,2019.0,2019,2.9
Hide My Gun (Feat. HARDY),Post Malone,61,pop,220479,2024-08-15,2024.0,2024,3.67465
"Girl, so confusing featuring lorde",Charli xcx,81,pop,205938,2024-06-21,2024.0,2024,3.4323
Fade Into You,Mazzy Star,81,pop,295600,1993-10-05,1993.0,1993,4.926666666666667
Young And Beautiful,Lana Del Rey,86,pop,236053,2013-01-01,2013.0,2013,3.9342166666666665
Stargirl Interlude,The Weeknd,83,pop,111626,2016-11-24,2016.0,2016,1.8604333333333334
Anti-Hero,Taylor Swift,84,pop,200690,2022-10-21,2022.0,2022,3.3448333333333333
Losers (Feat. Jelly Roll),Post Malone,58,pop,209038,2024-08-15,2024.0,2024,3.483966666666667
Nosedive (Feat. Lainey Wilson),Post Malone,59,pop,192459,2024-08-15,2024.0,2024,3.20765
Religiously,Bailey Zimmerman,77,pop,178723,2023-01-11,2023.0,2023,2.9787166666666667
Ho Hey,The Lumineers,83,pop,163133,2012-04-03,2012.0,2012,2.7188833333333333
Picture You,Chappell Roan,78,pop,187130,2023-09-22,2023.0,2023,3.1188333333333333
California Sober (Feat. Chris Stapleton),Post Malone,58,pop,204411,2024-08-15,2024.0,2024,3.40685
Jimmy Cooks (feat. 21 Savage),Drake,82,pop,218364,2022-06-17,2022.0,2022,3.6394
We Found Love,Rihanna,84,pop,215226,2011-11-18,2011.0,2011,3.5871
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,76,pop,263773,2010-10-01,2010.0,2010,4.396216666666667
Never Love You Again (Feat. Sierra Ferrell),Post Malone,57,pop,186861,2024-08-15,2024.0,2024,3.11435
M-E-X-I-C-O (Feat. Billy Strings),Post Malone,57,pop,155928,2024-08-15,2024.0,2024,2.5988
Wake Me Up,Avicii,86,pop,247426,2013-01-01,2013.0,2013,4.123766666666667
TiK ToK,Kesha,83,pop,199693,2010-01-01,2010.0,2010,3.3282166666666666
telepatía,Kali Uchis,82,pop,160191,2020-12-04,2020.0,2020,2.66985
